Track name, Artist name, Album, Playlist name, Type
The One I Love by R.E.M. | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Don't You Forget About Me by Simple Minds | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Peaceful Easy Feeling by Eagles | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
"Take Me Home, Country Roads | Easy Guitar Lesson",,,Beginner Songs on Guitar,Playlist track
Don't Worry Be Happy :) | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Boys Of Summer by Don Henley | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hallelujah | Guitar Lesson [Easy Melody],,,Beginner Songs on Guitar,Playlist track
Pontoon | Easy 3-Chord Country Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
End of the Line by The Traveling Wilburys | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Breakfast at Tiffany's - Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Boys Round Here by Blake Shelton | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Heartbeat by Buddy Holly | Easy 3-Chord Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Games People Play | Easy Chords Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Play Your First Guitar Song! | Learn with a Waylon Jennings classic,,,Beginner Songs on Guitar,Playlist track
Sunshine Of Your Love Easy Guitar Lesson | Eric Clapton,,,Beginner Songs on Guitar,Playlist track
Your FIRST RIFF: The Peter Gunn Theme |  Beginner Lesson,,,Beginner Songs on Guitar,Playlist track
You Never Can Tell Easy Guitar Lesson | Chuck Berry,,,Beginner Songs on Guitar,Playlist track
Keep Your Hands To Yourself Easy Guitar Lesson | The Georgia Satellites,,,Beginner Songs on Guitar,Playlist track
A Horse With No Name Easy Guitar Lesson | America,,,Beginner Songs on Guitar,Playlist track
Surfin USA Easy 3-Chord Guitar Lesson | The Beach Boys,,,Beginner Songs on Guitar,Playlist track
drivers license Easy Guitar Lesson | Olivia Rodrigo,,,Beginner Songs on Guitar,Playlist track
Last Kiss Guitar Lesson | Pearl Jam,,,Beginner Songs on Guitar,Playlist track
Love Again Guitar Tutorial | Dua Lipa,,,Beginner Songs on Guitar,Playlist track
Come As You Are Easy Guitar Lesson | Nirvana,,,Beginner Songs on Guitar,Playlist track
Aint No Sunshine Easy Guitar Lesson | Bill Withers,,,Beginner Songs on Guitar,Playlist track
How to play Jingle Bells | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Last Christmas by Wham | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Jolene Easy Guitar Lesson Dolly Parton,,,Beginner Songs on Guitar,Playlist track
Sailing by Rod Stewart | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Silence Is Easy by Starsailor | Guitar Lesson (Only 2 Chords!),,,Beginner Songs on Guitar,Playlist track
How to play Unknown Legend by Neil Young on the guitar,,,Beginner Songs on Guitar,Playlist track
Dancing In The Dark - Easy Guitar Lesson | Bruce Springsteen,,,Beginner Songs on Guitar,Playlist track
Careless Whisper by George Michael | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Born In The USA on guitar | Easy Chords,,,Beginner Songs on Guitar,Playlist track
How to play Better by The Screaming Jets | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Sweet Child O Mine by Guns N Roses | Easy Guitar #JGTRSweetChild,,,Beginner Songs on Guitar,Playlist track
All You Need Is Love Guitar Lesson | The Beatles,,,Beginner Songs on Guitar,Playlist track
Give Me Love Easy Guitar Lesson | Ed Sheeran,,,Beginner Songs on Guitar,Playlist track
How to play Fortunate Son | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Walking the Dog by the Rolling Stones | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play To Her Door by Paul Kelly | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Proud Mary by Creedence Clearwater Revival | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Summer of 69 by Bryan Adams | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Throw Your Arms Around Me - Hunters & Collectors | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
We're Not Gonna Take It - Twisted Sister | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Jessie's Girl by Rick Springfield | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Hit Me With Your Best Shot - Pat Benatar - Guitar Lesson Tutorial (BS-825),,,Beginner Songs on Guitar,Playlist track
Seven Nation Army by The White Stripes | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play All The Small Things - Blink 182 Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
The Tide Is High by Blondie | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Five Years Time by Noah And The Whale | Easy Guitar Chords :),,,Beginner Songs on Guitar,Playlist track
This Land Is Your Land by Woody Guthrie | Easy 3-Chord Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Come As You Are  - Nirvana - Guitar Lesson Tutorial (BS-723) Kurt Cobain How To Play,,,Beginner Songs on Guitar,Playlist track
Old Time Rock And Roll Easy Guitar Lesson | Bob Seger,,,Beginner Songs on Guitar,Playlist track
Valerie by Amy Winehouse | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Always On My Mind Easy Guitar Lesson | Elvis Presley,,,Beginner Songs on Guitar,Playlist track
Bohemian Like You | Easy Guitar - Open G Tuning!,,,Beginner Songs on Guitar,Playlist track
All I Want Is You by U2 | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hey There Delilah by Plain White T's |  Easy Fingerstyle Guitar,,,Beginner Songs on Guitar,Playlist track
Wake me Up by Avicii | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Fly Away - Lenny Kravitz - Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Thats Entertainment - The Jam | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Mustang Sally Easy Guitar Lesson | The Commitments,,,Beginner Songs on Guitar,Playlist track
Blue Suede Shoes - Easy Guitar Lesson | Elvis Presley/Carl Perkins,,,Beginner Songs on Guitar,Playlist track
Rock Around the Clock by Bill Haley | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
If It Makes You Happy by Sheryl Crow | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
"Girl, You'll Be A Woman Soon by Neil Diamond | Easy Guitar",,,Beginner Songs on Guitar,Playlist track
Easy Lesson! How to play One by U2 on guitar,,,Beginner Songs on Guitar,Playlist track
Stand By Me Easy Guitar Lesson | Ben E. King,,,Beginner Songs on Guitar,Playlist track
How to play Downtown Train by Tom Waits on guitar,,,Beginner Songs on Guitar,Playlist track
Songbird Easy Guitar Lesson | Oasis,,,Beginner Songs on Guitar,Playlist track
Desire Easy Guitar Lesson | U2,,,Beginner Songs on Guitar,Playlist track
Moves Like Jagger by Maroon 5 | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
World Where You Live by Crowded House | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
505 Easy Guitar Lesson | Arctic Monkeys,,,Beginner Songs on Guitar,Playlist track
How to play Blowin Smoke by Kacey Musgraves on guitar,,,Beginner Songs on Guitar,Playlist track
Ziggy Stardust by David Bowie | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Heroes by Bowie on the acoustic guitar,,,Beginner Songs on Guitar,Playlist track
Me And Charlie by Lee Hazlewood | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Super Easy Guitar Lesson - Dance The Night Away by The Mavericks,,,Beginner Songs on Guitar,Playlist track
Closing Time by Semisonic | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Moonlight Shadow by Mike Oldfield | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Chocolate Jesus by Tom Waits - Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Little Talks by Of Monsters And Men | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
For What Its Worth by Buffalo Springfield | Easy Guitar for Beginners,,,Beginner Songs on Guitar,Playlist track
How to play Everybody Hurts by R.E.M. | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Crazy Little Thing Called Love by Queen | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Helpless by Neil Young | Easy Acoustic Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
If You Wanna by The Vaccines | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Bad Moon Rising Easy Guitar Lesson | Creedence Clearwater Revival,,,Beginner Songs on Guitar,Playlist track
Hello by Adele | Easy & Intermediate Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Stay With Me by Sam Smith | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Best Of You - Foo Fighters | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Sugar by Maroon 5 | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Budapest by George Ezra on guitar | Easy Lesson,,,Beginner Songs on Guitar,Playlist track
Take Me To Church by Hozier | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hold Back The River by James Bay | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Im Not The Only One by Sam Smith | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Let Her Go by Passenger | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Vincent - Starry Starry Night | Easy Fingerstyle Guitar,,,Beginner Songs on Guitar,Playlist track
Hotel California by Eagles | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Before You Accuse Me by Eric Clapton | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Heart Of Gold by Neil Young | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Please Forgive Me by David Gray | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Feelin Alright - Traffic | Easy Beginner Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
House of the Rising Sun by The Animals | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
First Guitar Song? 3 Little Birds Super Easy Chords | Bob Marley,,,Beginner Songs on Guitar,Playlist track
Oasis Wonderwall Guitar Lesson * Correct Strumming! *,,,Beginner Songs on Guitar,Playlist track
How to play Santa Claus Is Coming To Town | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hey Joe by Jimi Hendrix | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Long Way To The Top Guitar Lesson | AC/DC,,,Beginner Songs on Guitar,Playlist track
The Drugs Don't Work by The Verve | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How Bizarre by OMC | Easy 3 Chord Song Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Thinking Out Loud by Ed Sheeran | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Walk Of Life Easy Guitar Lesson | Dire Straits,,,Beginner Songs on Guitar,Playlist track
Hey Ya Easy Guitar Lesson | Outkast,,,Beginner Songs on Guitar,Playlist track
American Pie by Don McLean | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Sittin' On The Dock Of The Bay Easy Guitar Lesson | Otis Redding,,,Beginner Songs on Guitar,Playlist track
Fast Car by Tracy Chapman | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Somebody To Love Easy Guitar Lesson | Jefferson Airplane,,,Beginner Songs on Guitar,Playlist track
Id Rather Go Blind by Etta James  |  Guitar Lesson (2-chord song!),,,Beginner Songs on Guitar,Playlist track
How to play Times Like These by Foo Fighters,,,Beginner Songs on Guitar,Playlist track
Fix You by Coldplay | Easy  Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Polly by Nirvana | Acoustic Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Save Tonight - Easy Guitar Chords! | Eagle Eye Cherry,,,Beginner Songs on Guitar,Playlist track
How to play Cherry Cherry by Neil Diamond | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play It's So Easy by Buddy Holly on the guitar,,,Beginner Songs on Guitar,Playlist track
How to play Be My Baby by The Ronettes | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Sunny Afternoon by The Kinks | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Every Rose Has Its Thorn by Poison | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Yellow by Coldplay | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Killing In The Name - Rage Against The Machine | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Wonderful Tonight Easy Guitar Lesson | Eric Clapton,,,Beginner Songs on Guitar,Playlist track
Dont Look Back In Anger by Oasis | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Thats All Right Mama by Elvis Presley | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Killing Me Softly With His Song | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Teenage Kicks by The Undertones | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play I Want To Hold Your Hand by The Beatles on guitar,,,Beginner Songs on Guitar,Playlist track
Hand In My Pocket by Alanis Morissette | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Angels by Robbie Williams | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
In Bloom by Nirvana | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Teardrops On My Guitar by Taylor Swift | Easy Lesson,,,Beginner Songs on Guitar,Playlist track
How to play I Kissed A Girl by Katy Perry | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Rise by Gabrielle | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Realize by Colbie Caillat | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Black Horse and the Cherry Tree by KT Tunstall | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Razor Love by Neil Young | Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Buffalo Springfield Again by Neil Young | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play The Passenger by Iggy Pop | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Sing by Travis | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
I Gotta Feeling by The Black Eyed Peas | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play The Cave by Mumford & Sons | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Dont Panic by Coldplay | Acoustic Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Lego House by Ed Sheeran | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
I Cant Help Falling In Love With You by Elvis | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
How to play Where Did You Sleep Last Night by Nirvana,,,Beginner Songs on Guitar,Playlist track
The Heart Of Saturday Night - Tom Waits | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hold On Easy Guitar Lesson | Tom Waits,,,Beginner Songs on Guitar,Playlist track
How to play The A Team by Ed Sheeran + Mini Guitar Cover,,,Beginner Songs on Guitar,Playlist track
How to play Im A Believer by The Monkees on guitar,,,Beginner Songs on Guitar,Playlist track
Way Over Yonder In The Minor Key | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Wild Wood by Paul Weller | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
How to play Dakota on guitar - Easy Stereophonics Lesson,,,Beginner Songs on Guitar,Playlist track
Mad World Easy Guitar Lesson | Gary Jules,,,Beginner Songs on Guitar,Playlist track
Love Is All Around by Wet Wet Wet | Easy Guitar,,,Beginner Songs on Guitar,Playlist track
Whats Up by 4 Non Blondes | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
Hound Dog Easy Guitar Lesson | Elvis Presley,,,Beginner Songs on Guitar,Playlist track
Substitute by The Who | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
I Walk The Line by Johnny Cash | Easy 3-Chord Song Lesson,,,Beginner Songs on Guitar,Playlist track
Lay Down Sally Lesson - Easy Eric Clapton Songs On Guitar!,,,Beginner Songs on Guitar,Playlist track
Baby One More Time Easy Pop Guitar Lesson | Britney Spears,,,Beginner Songs on Guitar,Playlist track
Hallelujah by Leonard Cohen | Easy Guitar Lesson,,,Beginner Songs on Guitar,Playlist track
