Track name, Artist name, Album, Playlist name, Type
Down Under by Men at Work | Guitar Lesson,The One I Love by R.E.M. | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Werewolves of London by Warren Zevon | Guitar Lesson,Don't You Forget About Me by Simple Minds | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Should I Stay or Should I Go by The Clash | Easy Guitar Lesson,Peaceful Easy Feeling by Eagles | Guitar Lesson,,Easy Beginner Songs,Playlist track
The Final Countdown | Guitar Lesson,"Take Me Home, Country Roads | Easy Guitar Lesson",,Easy Beginner Songs,Playlist track
Wildflowers by Tom Petty | Easy Guitar Lesson,Don't Worry Be Happy :) | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Learning To Fly - Tom Petty | Easy Guitar Lesson,Boys Of Summer by Don Henley | Guitar Lesson,,Easy Beginner Songs,Playlist track
Mull of Kintyre by Paul McCartney | Easy Guitar Lesson,Hallelujah | Guitar Lesson [Easy Melody],,Easy Beginner Songs,Playlist track
How to play The Sound of Silence | Guitar Lesson,Pontoon | Easy 3-Chord Country Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Bad Habits by Ed Sheeran | Guitar Lesson,End of the Line by The Traveling Wilburys | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Here Comes The Sun | The Beatles Guitar Lesson,How to play Breakfast at Tiffany's - Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Son of a Preacher Man | Capo & No Capo Guitar Lesson,Boys Round Here by Blake Shelton | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Champagne Supernova Guitar Lesson | Oasis,Heartbeat by Buddy Holly | Easy 3-Chord Guitar Lesson,,Easy Beginner Songs,Playlist track
Achy Breaky Heart Easy Country Guitar Lesson,Games People Play | Easy Chords Guitar Lesson,,Easy Beginner Songs,Playlist track
Give Peace A Chance Guitar Lesson | John Lennon,Play Your First Guitar Song! | Learn with a Waylon Jennings classic,,Easy Beginner Songs,Playlist track
Pretty Fly for a White Guy Guitar Lesson | The Offspring,Sunshine Of Your Love Easy Guitar Lesson | Eric Clapton,,Easy Beginner Songs,Playlist track
Cocaine Easy Guitar Lesson | Eric Clapton,Your FIRST RIFF: The Peter Gunn Theme |  Beginner Lesson,,Easy Beginner Songs,Playlist track
Sheena Is A Punk Rocker Guitar Lesson | Ramones,You Never Can Tell Easy Guitar Lesson | Chuck Berry,,Easy Beginner Songs,Playlist track
Seven Nation Army Easy Riff Guitar Lesson | The White Stripes,Keep Your Hands To Yourself Easy Guitar Lesson | The Georgia Satellites,,Easy Beginner Songs,Playlist track
Black Easy Guitar Lesson | Pearl Jam,A Horse With No Name Easy Guitar Lesson | America,,Easy Beginner Songs,Playlist track
La Bamba Easy Riff Guitar Lesson | Ritchie Valens,Surfin USA Easy 3-Chord Guitar Lesson | The Beach Boys,,Easy Beginner Songs,Playlist track
Say Something by A Great Big World & Christina Aguilera | Easy Guitar,drivers license Easy Guitar Lesson | Olivia Rodrigo,,Easy Beginner Songs,Playlist track
Somebody That I Used To Know - Gotye | Easy Guitar Lesson,Last Kiss Guitar Lesson | Pearl Jam,,Easy Beginner Songs,Playlist track
How to play We Wish You A Merry Christmas | Easy Guitar Lesson,Love Again Guitar Tutorial | Dua Lipa,,Easy Beginner Songs,Playlist track
How to play Deck The Halls | Easy Guitar Lesson,Come As You Are Easy Guitar Lesson | Nirvana,,Easy Beginner Songs,Playlist track
How to play Winter Wonderland on guitar - Dean Martin Lesson,Aint No Sunshine Easy Guitar Lesson | Bill Withers,,Easy Beginner Songs,Playlist track
How to play Comes A Time by Neil Young | Guitar Lesson,How to play Jingle Bells | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Handle With Care - The Traveling Wilburys | Easy Guitar Lesson,How to play Last Christmas by Wham | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Free Fallin by Tom Petty | Easy Guitar Lesson,Jolene Easy Guitar Lesson Dolly Parton,,Easy Beginner Songs,Playlist track
I Hope That I Dont Fall In Love With You Easy Guitar Lesson - Tom Waits,Sailing by Rod Stewart | Easy Guitar,,Easy Beginner Songs,Playlist track
Royals Easy Guitar Lesson | Lorde,Silence Is Easy by Starsailor | Guitar Lesson (Only 2 Chords!),,Easy Beginner Songs,Playlist track
How to play Fields Of Gold by Sting | Easy Guitar,How to play Unknown Legend by Neil Young on the guitar,,Easy Beginner Songs,Playlist track
Cortez The Killer by Neil Young | EASY Guitar Lesson,Dancing In The Dark - Easy Guitar Lesson | Bruce Springsteen,,Easy Beginner Songs,Playlist track
Photograph Easy Guitar Lesson | Ed Sheeran,Careless Whisper by George Michael | Easy Guitar,,Easy Beginner Songs,Playlist track
How to play All Of Me by John Legend | Easy Guitar Lesson,How to play Born In The USA on guitar | Easy Chords,,Easy Beginner Songs,Playlist track
Dead Flowers Guitar Lesson | The Rolling Stones,How to play Better by The Screaming Jets | Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Natural Beauty by Neil Young | Guitar Lesson,How to play Sweet Child O Mine by Guns N Roses | Easy Guitar #JGTRSweetChild,,Easy Beginner Songs,Playlist track
Hey Jude Easy Guitar Lesson | The Beatles,All You Need Is Love Guitar Lesson | The Beatles,,Easy Beginner Songs,Playlist track
"Hey Hey, My My by Neil Young | Easy Guitar Lesson",Give Me Love Easy Guitar Lesson | Ed Sheeran,,Easy Beginner Songs,Playlist track
How to play Bye Bye Love by The Everly Brothers | Easy Guitar,How to play Fortunate Son | Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play The First Cut Is The Deepest by Cat Stevens,Walking the Dog by the Rolling Stones | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play These Boots Are Made For Walking on guitar - Easy Lesson!,How to play To Her Door by Paul Kelly | Easy Guitar,,Easy Beginner Songs,Playlist track
What Took You So Long by Emma Bunton | Easy Guitar Lesson,Proud Mary by Creedence Clearwater Revival | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
You're Still The One by Shania Twain | Easy Guitar,Summer of 69 by Bryan Adams | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Crazy by Gnarls Barkley | Easy Acoustic Guitar,Throw Your Arms Around Me - Hunters & Collectors | Easy Guitar,,Easy Beginner Songs,Playlist track
Wild World by Cat Stevens | Easy Guitar Lesson,We're Not Gonna Take It - Twisted Sister | Guitar Lesson,,Easy Beginner Songs,Playlist track
Molly's Chamber - Kings Of Leon (Songs Guitar Lesson BS-807) How to play,How to play Jessie's Girl by Rick Springfield | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
You Really Got Me - The Kinks (Songs Guitar Lesson BS-706) How to play,How to play Hit Me With Your Best Shot - Pat Benatar - Guitar Lesson Tutorial (BS-825),,Easy Beginner Songs,Playlist track
Fast Car - Tracy Chapman (Easy Songs Beginner Guitar Lesson  BS-802) How to play,Seven Nation Army by The White Stripes | Guitar Lesson,,Easy Beginner Songs,Playlist track
Wherever You Will Go - The Calling (Songs Guitar Lesson BS-903) How to play,How to play All The Small Things - Blink 182 Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
House Of The Rising Sun - Animals (Songs Guitar Lesson BS-610) How to play,The Tide Is High by Blondie | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Please Forgive Me - David Gray (Songs Guitar Lesson BS-601) How to play,Five Years Time by Noah And The Whale | Easy Guitar Chords :),,Easy Beginner Songs,Playlist track
Better Be Home Soon - Crowded House (Songs Guitar Lesson BS-901) How to play,This Land Is Your Land by Woody Guthrie | Easy 3-Chord Guitar Lesson,,Easy Beginner Songs,Playlist track
Polly by Nirvana | Original JustinGuitar Lesson,Come As You Are  - Nirvana - Guitar Lesson Tutorial (BS-723) Kurt Cobain How To Play,,Easy Beginner Songs,Playlist track
Pretty Fly for a White Guy (Songs Guitar Lesson BS-810) How to play,Old Time Rock And Roll Easy Guitar Lesson | Bob Seger,,Easy Beginner Songs,Playlist track
The One I Love by R.E.M. | Easy Guitar Lesson,Valerie by Amy Winehouse | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Don't You Forget About Me by Simple Minds | Easy Guitar Lesson,Always On My Mind Easy Guitar Lesson | Elvis Presley,,Easy Beginner Songs,Playlist track
Peaceful Easy Feeling by Eagles | Guitar Lesson,Bohemian Like You | Easy Guitar - Open G Tuning!,,Easy Beginner Songs,Playlist track
Boys Of Summer by Don Henley | Guitar Lesson,All I Want Is You by U2 | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Hallelujah | Guitar Lesson [Easy Melody],Hey There Delilah by Plain White T's |  Easy Fingerstyle Guitar,,Easy Beginner Songs,Playlist track
Pontoon | Easy 3-Chord Country Guitar Lesson,Wake me Up by Avicii | Easy Guitar,,Easy Beginner Songs,Playlist track
End of the Line by The Traveling Wilburys | Easy Guitar Lesson,Fly Away - Lenny Kravitz - Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Breakfast at Tiffany's - Easy Guitar Lesson,Thats Entertainment - The Jam | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Boys Round Here by Blake Shelton | Easy Guitar Lesson,Mustang Sally Easy Guitar Lesson | The Commitments,,Easy Beginner Songs,Playlist track
Heartbeat by Buddy Holly | Easy 3-Chord Guitar Lesson,Blue Suede Shoes - Easy Guitar Lesson | Elvis Presley/Carl Perkins,,Easy Beginner Songs,Playlist track
Games People Play | Easy Chords Guitar Lesson,Rock Around the Clock by Bill Haley | Easy Guitar,,Easy Beginner Songs,Playlist track
Play Your First Guitar Song! | Learn with a Waylon Jennings classic,If It Makes You Happy by Sheryl Crow | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Sunshine Of Your Love Easy Guitar Lesson | Eric Clapton,"Girl, You'll Be A Woman Soon by Neil Diamond | Easy Guitar",,Easy Beginner Songs,Playlist track
Your FIRST RIFF: The Peter Gunn Theme |  Beginner Lesson,Easy Lesson! How to play One by U2 on guitar,,Easy Beginner Songs,Playlist track
Surfin USA Easy 3-Chord Guitar Lesson | The Beach Boys,Stand By Me Easy Guitar Lesson | Ben E. King,,Easy Beginner Songs,Playlist track
Last Kiss Guitar Lesson | Pearl Jam,How to play Downtown Train by Tom Waits on guitar,,Easy Beginner Songs,Playlist track
Love Again Guitar Tutorial | Dua Lipa,Songbird Easy Guitar Lesson | Oasis,,Easy Beginner Songs,Playlist track
Come As You Are Easy Guitar Lesson | Nirvana,Desire Easy Guitar Lesson | U2,,Easy Beginner Songs,Playlist track
Aint No Sunshine Easy Guitar Lesson | Bill Withers,Moves Like Jagger by Maroon 5 | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Jingle Bells | Easy Guitar Lesson,World Where You Live by Crowded House | Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Last Christmas by Wham | Easy Guitar Lesson,505 Easy Guitar Lesson | Arctic Monkeys,,Easy Beginner Songs,Playlist track
Jolene Easy Guitar Lesson Dolly Parton,How to play Blowin Smoke by Kacey Musgraves on guitar,,Easy Beginner Songs,Playlist track
Sailing by Rod Stewart | Easy Guitar,Ziggy Stardust by David Bowie | Guitar Lesson,,Easy Beginner Songs,Playlist track
Silence Is Easy by Starsailor | Guitar Lesson (Only 2 Chords!),How to play Heroes by Bowie on the acoustic guitar,,Easy Beginner Songs,Playlist track
Careless Whisper by George Michael | Easy Guitar,Me And Charlie by Lee Hazlewood | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Born In The USA on guitar | Easy Chords,Super Easy Guitar Lesson - Dance The Night Away by The Mavericks,,Easy Beginner Songs,Playlist track
Walking the Dog by the Rolling Stones | Easy Guitar Lesson,Closing Time by Semisonic | Easy Guitar,,Easy Beginner Songs,Playlist track
How to play To Her Door by Paul Kelly | Easy Guitar,Moonlight Shadow by Mike Oldfield | Easy Guitar,,Easy Beginner Songs,Playlist track
Summer of 69 by Bryan Adams | Easy Guitar Lesson,Chocolate Jesus by Tom Waits - Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Throw Your Arms Around Me - Hunters & Collectors | Easy Guitar,Little Talks by Of Monsters And Men | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Five Years Time by Noah And The Whale | Easy Guitar Chords :),For What Its Worth by Buffalo Springfield | Easy Guitar for Beginners,,Easy Beginner Songs,Playlist track
This Land Is Your Land by Woody Guthrie | Easy 3-Chord Guitar Lesson,How to play Everybody Hurts by R.E.M. | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
All I Want Is You by U2 | Easy Guitar Lesson,Crazy Little Thing Called Love by Queen | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Wake me Up by Avicii | Easy Guitar,Helpless by Neil Young | Easy Acoustic Guitar Lesson,,Easy Beginner Songs,Playlist track
If It Makes You Happy by Sheryl Crow | Easy Guitar Lesson,If You Wanna by The Vaccines | Easy Guitar,,Easy Beginner Songs,Playlist track
"Girl, You'll Be A Woman Soon by Neil Diamond | Easy Guitar",Bad Moon Rising Easy Guitar Lesson | Creedence Clearwater Revival,,Easy Beginner Songs,Playlist track
Easy Lesson! How to play One by U2 on guitar,Hello by Adele | Easy & Intermediate Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Downtown Train by Tom Waits on guitar,Stay With Me by Sam Smith | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Desire Easy Guitar Lesson | U2,Best Of You - Foo Fighters | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Moves Like Jagger by Maroon 5 | Easy Guitar Lesson,Sugar by Maroon 5 | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
505 Easy Guitar Lesson | Arctic Monkeys,How to play Budapest by George Ezra on guitar | Easy Lesson,,Easy Beginner Songs,Playlist track
How to play Blowin Smoke by Kacey Musgraves on guitar,Take Me To Church by Hozier | Guitar Lesson,,Easy Beginner Songs,Playlist track
Ziggy Stardust by David Bowie | Guitar Lesson,Hold Back The River by James Bay | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Heroes by Bowie on the acoustic guitar,Im Not The Only One by Sam Smith | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Me And Charlie by Lee Hazlewood | Easy Guitar Lesson,Let Her Go by Passenger | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Super Easy Guitar Lesson - Dance The Night Away by The Mavericks,Vincent - Starry Starry Night | Easy Fingerstyle Guitar,,Easy Beginner Songs,Playlist track
Closing Time by Semisonic | Easy Guitar,Hotel California by Eagles | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Moonlight Shadow by Mike Oldfield | Easy Guitar,Before You Accuse Me by Eric Clapton | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
For What Its Worth by Buffalo Springfield | Easy Guitar for Beginners,Heart Of Gold by Neil Young | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Everybody Hurts by R.E.M. | Easy Guitar Lesson,Please Forgive Me by David Gray | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Bad Moon Rising Easy Guitar Lesson | Creedence Clearwater Revival,Feelin Alright - Traffic | Easy Beginner Guitar Lesson,,Easy Beginner Songs,Playlist track
Hello by Adele | Easy & Intermediate Guitar Lesson,House of the Rising Sun by The Animals | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Budapest by George Ezra on guitar | Easy Lesson,First Guitar Song? 3 Little Birds Super Easy Chords | Bob Marley,,Easy Beginner Songs,Playlist track
Im Not The Only One by Sam Smith | Easy Guitar Lesson,Oasis Wonderwall Guitar Lesson * Correct Strumming! *,,Easy Beginner Songs,Playlist track
Let Her Go by Passenger | Easy Guitar Lesson,How to play Santa Claus Is Coming To Town | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Before You Accuse Me by Eric Clapton | Easy Guitar Lesson,Hey Joe by Jimi Hendrix | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Heart Of Gold by Neil Young | Easy Guitar Lesson,Long Way To The Top Guitar Lesson | AC/DC,,Easy Beginner Songs,Playlist track
Please Forgive Me by David Gray | Easy Guitar Lesson,The Drugs Don't Work by The Verve | Easy Guitar,,Easy Beginner Songs,Playlist track
Feelin Alright - Traffic | Easy Beginner Guitar Lesson,How Bizarre by OMC | Easy 3 Chord Song Guitar Lesson,,Easy Beginner Songs,Playlist track
House of the Rising Sun by The Animals | Easy Guitar Lesson,Thinking Out Loud by Ed Sheeran | Guitar Lesson,,Easy Beginner Songs,Playlist track
Oasis Wonderwall Guitar Lesson * Correct Strumming! *,Walk Of Life Easy Guitar Lesson | Dire Straits,,Easy Beginner Songs,Playlist track
How to play Santa Claus Is Coming To Town | Easy Guitar Lesson,Hey Ya Easy Guitar Lesson | Outkast,,Easy Beginner Songs,Playlist track
How Bizarre by OMC | Easy 3 Chord Song Guitar Lesson,American Pie by Don McLean | Easy Guitar,,Easy Beginner Songs,Playlist track
Hey Ya Easy Guitar Lesson | Outkast,Sittin' On The Dock Of The Bay Easy Guitar Lesson | Otis Redding,,Easy Beginner Songs,Playlist track
American Pie by Don McLean | Easy Guitar,Fast Car by Tracy Chapman | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Somebody To Love Easy Guitar Lesson | Jefferson Airplane,Somebody To Love Easy Guitar Lesson | Jefferson Airplane,,Easy Beginner Songs,Playlist track
Id Rather Go Blind by Etta James  |  Guitar Lesson (2-chord song!),Id Rather Go Blind by Etta James  |  Guitar Lesson (2-chord song!),,Easy Beginner Songs,Playlist track
Fix You by Coldplay | Easy  Guitar Lesson,How to play Times Like These by Foo Fighters,,Easy Beginner Songs,Playlist track
How to play Cherry Cherry by Neil Diamond | Easy Guitar,Fix You by Coldplay | Easy  Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play It's So Easy by Buddy Holly on the guitar,How to play Polly by Nirvana | Acoustic Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play Be My Baby by The Ronettes | Guitar Lesson,Save Tonight - Easy Guitar Chords! | Eagle Eye Cherry,,Easy Beginner Songs,Playlist track
Every Rose Has Its Thorn by Poison | Easy Guitar Lesson,How to play Cherry Cherry by Neil Diamond | Easy Guitar,,Easy Beginner Songs,Playlist track
Yellow by Coldplay | Easy Guitar Lesson,How to play It's So Easy by Buddy Holly on the guitar,,Easy Beginner Songs,Playlist track
Killing In The Name - Rage Against The Machine | Guitar Lesson,How to play Be My Baby by The Ronettes | Guitar Lesson,,Easy Beginner Songs,Playlist track
Wonderful Tonight Easy Guitar Lesson | Eric Clapton,Sunny Afternoon by The Kinks | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Dont Look Back In Anger by Oasis | Easy Guitar Lesson,Every Rose Has Its Thorn by Poison | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
Thats All Right Mama by Elvis Presley | Guitar Lesson,Yellow by Coldplay | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
How to play I Want To Hold Your Hand by The Beatles on guitar,Killing In The Name - Rage Against The Machine | Guitar Lesson,,Easy Beginner Songs,Playlist track
Hand In My Pocket by Alanis Morissette | Easy Guitar,Wonderful Tonight Easy Guitar Lesson | Eric Clapton,,Easy Beginner Songs,Playlist track
How to play Teardrops On My Guitar by Taylor Swift | Easy Lesson,Dont Look Back In Anger by Oasis | Easy Guitar Lesson,,Easy Beginner Songs,Playlist track
